YEAR,QUARTER,MONTH,PEAK DEMAND,DEMAND MET,REGION,STATE,DEMAND NOT MET,DEMAND
2013,Q4,10,278,276,NE,MEGHALAYA,-2,278
2013,Q4,10,61,60,NE,MIZORAM,-1,61
2013,Q4,10,99,99,NE,NAGALAND,0,99
2013,Q4,10,254,250,NE,TRIPURA,-4,254
2013,Q4,11,185,185,NORTH,CHANDIGARH,0,185
2013,Q4,11,3576,3576,NORTH,DELHI,0,3576
2013,Q4,11,5626,5626,NORTH,HARYANA,0,5626
2013,Q4,11,1319,1319,NORTH,HIMACHAL PRADESH,0,1319
2013,Q4,11,2385,1909,NORTH,JAMMU & KASHMIR,-476,2385
2013,Q4,11,5154,5154,NORTH,PUNJAB,0,5154
2013,Q4,11,8627,8627,NORTH,RAJASTAN,0,8627
2013,Q4,11,12327,12327,NORTH,UTTAR PRADESH,0,12327
2013,Q4,11,1611,1611,NORTH,UTTARAKHAND,0,1611
2013,Q4,11,2624,2622,WEST,CHATTISGARH,-2,2624
2013,Q4,11,11434,11422,WEST,GUJARAT,-12,11434
2013,Q4,11,9579,9570,WEST,MADYA PRADESH,-9,9579
2013,Q4,11,17343,16608,WEST,MAHARASTRA,-735,17343
2013,Q4,11,316,291,WEST,DAMAN AND DIU,-25,316
2013,Q4,11,650,650,WEST,DADRA AND NAGAR HAVELI,0,650
2013,Q4,11,529,529,WEST,GOA,0,529
2013,Q4,11,10669,10591,SOUTH,ANDRA PRADESH,-78,10669
2013,Q4,11,9149,8167,SOUTH, KARNATAKA,-982,9149
2013,Q4,11,3589,3286,SOUTH,KERALA,-303,3589
2013,Q4,11,12043,10697,SOUTH,TAMILNADU,-1346,12043
2013,Q4,11,313,312,SOUTH,PUDUCHERRY,-1,313
2013,Q4,11,8,8,SOUTH,LAKSHADWEEP,0,8
2013,Q4,11,2462,2312,EAST,BIHAR,-150,2462
2013,Q4,11,2268,2253,EAST,DVC,-15,2268
2013,Q4,11,996,986,EAST,JARKHAND,-10,996
2013,Q4,11,3359,3319,EAST,ORISSA,-40,3359
2013,Q4,11,6406,6366,EAST,WEST BENGAL,-40,6406
2013,Q4,11,85,85,EAST,SIKKAM,0,85
2013,Q4,11,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2013,Q4,11,120,120,NE,ARUNACHAL PRADESH,0,120
2013,Q4,11,1169,1155,NE,ASSAM,-14,1169
2013,Q4,11,124,123,NE,MANIPUR,-1,124
2013,Q4,11,300,298,NE,MEGHALAYA,-2,300
2013,Q4,11,66,65,NE,MIZORAM,-1,66
2013,Q4,11,96,96,NE,NAGALAND,0,96
2013,Q4,11,208,207,NE,TRIPURA,-1,208
2013,Q4,12,216,216,NORTH,CHANDIGARH,0,216
2013,Q4,12,3779,3775,NORTH,DELHI,-4,3779
2013,Q4,12,6125,6125,NORTH,HARYANA,0,6125
2013,Q4,12,1486,1384,NORTH,HIMACHAL PRADESH,-102,1486
2013,Q4,12,2450,1957,NORTH,JAMMU & KASHMIR,-493,2450
2013,Q4,12,5467,5467,NORTH,PUNJAB,0,5467
2013,Q4,12,9735,9703,NORTH,RAJASTAN,-32,9735
2013,Q4,12,10971,10701,NORTH,UTTAR PRADESH,-270,10971
2013,Q4,12,1754,1679,NORTH,UTTARAKHAND,-75,1754
2013,Q4,12,3218,2845,WEST,CHATTISGARH,-373,3218
2013,Q4,12,11348,11348,WEST,GUJARAT,0,11348
2013,Q4,12,9716,9716,WEST,MADYA PRADESH,0,9716
2013,Q4,12,17560,16714,WEST,MAHARASTRA,-846,17560
2013,Q4,12,322,297,WEST,DAMAN AND DIU,-25,322
2013,Q4,12,650,650,WEST,DADRA AND NAGAR HAVELI,0,650
2013,Q4,12,491,489,WEST,GOA,-2,491
2013,Q4,12,11642,11365,SOUTH,ANDRA PRADESH,-277,11642
2013,Q4,12,9540,8680,SOUTH, KARNATAKA,-860,9540
2013,Q4,12,3517,3324,SOUTH,KERALA,-193,3517
2013,Q4,12,12577,11577,SOUTH,TAMILNADU,-1000,12577
2013,Q4,12,313,307,SOUTH,PUDUCHERRY,-6,313
2013,Q4,12,8,8,SOUTH,LAKSHADWEEP,0,8
2013,Q4,12,2088,1938,EAST,BIHAR,-150,2088
2013,Q4,12,2313,2303,EAST,DVC,-10,2313
2013,Q4,12,946,936,EAST,JARKHAND,-10,946
2013,Q4,12,3140,3130,EAST,ORISSA,-10,3140
2013,Q4,12,6089,6059,EAST,WEST BENGAL,-30,6089
2013,Q4,12,80,80,EAST,SIKKAM,0,80
2013,Q4,12,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2013,Q4,12,125,124,NE,ARUNACHAL PRADESH,-1,125
2013,Q4,12,1153,1065,NE,ASSAM,-88,1153
2013,Q4,12,130,129,NE,MANIPUR,-1,130
2013,Q4,12,312,312,NE,MEGHALAYA,0,312
2013,Q4,12,80,79,NE,MIZORAM,-1,80
2013,Q4,12,105,104,NE,NAGALAND,-1,105
2013,Q4,12,194,191,NE,TRIPURA,-3,194
2014,Q1,1,232,232,NORTH,CHANDIGARH,0,232
2014,Q1,1,4103,4000,NORTH,DELHI,-103,4103
2014,Q1,1,6043,6043,NORTH,HARYANA,0,6043
2014,Q1,1,1479,1392,NORTH,HIMACHAL PRADESH,-87,1479
2014,Q1,1,2490,1991,NORTH,JAMMU & KASHMIR,-499,2490
2014,Q1,1,5531,5531,NORTH,PUNJAB,0,5531
2014,Q1,1,9977,9936,NORTH,RAJASTAN,-41,9977
2014,Q1,1,12885,10950,NORTH,UTTAR PRADESH,-1935,12885
2014,Q1,1,1814,1774,NORTH,UTTARAKHAND,-40,1814
2014,Q1,1,3013,2981,WEST,CHATTISGARH,-32,3013
2014,Q1,1,11218,11178,WEST,GUJARAT,-40,11218
2014,Q1,1,9604,9040,WEST,MADYA PRADESH,-564,9604
2014,Q1,1,18427,17013,WEST,MAHARASTRA,-1414,18427
2014,Q1,1,297,297,WEST,DAMAN AND DIU,0,297
2014,Q1,1,654,654,WEST,DADRA AND NAGAR HAVELI,0,654
2014,Q1,1,449,433,WEST,GOA,-16,449
2014,Q1,1,12280,12112,SOUTH,ANDRA PRADESH,-168,12280
2014,Q1,1,9785,9056,SOUTH, KARNATAKA,-729,9785
2014,Q1,1,3495,3333,SOUTH,KERALA,-162,3495
2014,Q1,1,13248,12492,SOUTH,TAMILNADU,-756,13248
2014,Q1,1,318,317,SOUTH,PUDUCHERRY,-1,318
2014,Q1,1,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q1,1,2138,2018,EAST,BIHAR,-120,2138
2014,Q1,1,2560,2550,EAST,DVC,-10,2560
2014,Q1,1,1010,984,EAST,JARKHAND,-26,1010
2014,Q1,1,3220,3200,EAST,ORISSA,-20,3220
2014,Q1,1,6257,6237,EAST,WEST BENGAL,-20,6257
2014,Q1,1,80,80,EAST,SIKKAM,0,80
2014,Q1,1,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q1,1,118,116,NE,ARUNACHAL PRADESH,-2,118
2014,Q1,1,1089,1079,NE,ASSAM,-10,1089
2014,Q1,1,129,129,NE,MANIPUR,0,129
2014,Q1,1,343,330,NE,MEGHALAYA,-13,343
2014,Q1,1,84,82,NE,MIZORAM,-2,84
2014,Q1,1,107,106,NE,NAGALAND,-1,107
2014,Q1,1,201,201,NE,TRIPURA,0,201
2014,Q1,2,214,214,NORTH,CHANDIGARH,0,214
2014,Q1,2,3840,3670,NORTH,DELHI,-170,3840
2014,Q1,2,5919,5919,NORTH,HARYANA,0,5919
2014,Q1,2,1407,1384,NORTH,HIMACHAL PRADESH,-23,1407
2014,Q1,2,2500,1998,NORTH,JAMMU & KASHMIR,-502,2500
2014,Q1,2,5552,5552,NORTH,PUNJAB,0,5552
2014,Q1,2,10047,10038,NORTH,RAJASTAN,-9,10047
2014,Q1,2,12259,10534,NORTH,UTTAR PRADESH,-1725,12259
2014,Q1,2,1826,1826,NORTH,UTTARAKHAND,0,1826
2014,Q1,2,3086,3050,WEST,CHATTISGARH,-36,3086
2014,Q1,2,11230,11201,WEST,GUJARAT,-29,11230
2014,Q1,2,9125,9087,WEST,MADYA PRADESH,-38,9125
2014,Q1,2,19276,17621,WEST,MAHARASTRA,-1655,19276
2014,Q1,2,297,297,WEST,DAMAN AND DIU,0,297
2014,Q1,2,654,654,WEST,DADRA AND NAGAR HAVELI,0,654
2014,Q1,2,434,434,WEST,GOA,0,434
2014,Q1,2,13370,12671,SOUTH,ANDRA PRADESH,-699,13370
2014,Q1,2,9940,9223,SOUTH, KARNATAKA,-717,9940
2014,Q1,2,3557,3452,SOUTH,KERALA,-105,3557
2014,Q1,2,12734,11757,SOUTH,TAMILNADU,-977,12734
2014,Q1,2,322,322,SOUTH,PUDUCHERRY,0,322
2014,Q1,2,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q1,2,2190,2090,EAST,BIHAR,-100,2190
2014,Q1,2,2495,2485,EAST,DVC,-10,2495
2014,Q1,2,998,972,EAST,JARKHAND,-26,998
2014,Q1,2,3490,3440,EAST,ORISSA,-50,3490
2014,Q1,2,6323,6303,EAST,WEST BENGAL,-20,6323
2014,Q1,2,80,80,EAST,SIKKAM,0,80
2014,Q1,2,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q1,2,119,116,NE,ARUNACHAL PRADESH,-3,119
2014,Q1,2,1163,1085,NE,ASSAM,-78,1163
2014,Q1,2,129,128,NE,MANIPUR,-1,129
2014,Q1,2,295,295,NE,MEGHALAYA,0,295
2014,Q1,2,79,77,NE,MIZORAM,-2,79
2014,Q1,2,104,104,NE,NAGALAND,0,104
2014,Q1,2,207,206,NE,TRIPURA,-1,207
2014,Q1,3,199,199,NORTH,CHANDIGARH,0,199
2014,Q1,3,3604,3444,NORTH,DELHI,-160,3604
2014,Q1,3,5395,5395,NORTH,HARYANA,0,5395
2014,Q1,3,1421,1364,NORTH,HIMACHAL PRADESH,-57,1421
2014,Q1,3,2450,1933,NORTH,JAMMU & KASHMIR,-517,2450
2014,Q1,3,5476,5476,NORTH,PUNJAB,0,5476
2014,Q1,3,9354,9198,NORTH,RAJASTAN,-156,9354
2014,Q1,3,11436,11211,NORTH,UTTAR PRADESH,-225,11436
2014,Q1,3,1714,1714,NORTH,UTTARAKHAND,0,1714
2014,Q1,3,3324,3289,WEST,CHATTISGARH,-35,3324
2014,Q1,3,11778,11774,WEST,GUJARAT,-4,11778
2014,Q1,3,6767,6765,WEST,MADYA PRADESH,-2,6767
2014,Q1,3,18260,17317,WEST,MAHARASTRA,-943,18260
2014,Q1,3,297,297,WEST,DAMAN AND DIU,0,297
2014,Q1,3,646,646,WEST,DADRA AND NAGAR HAVELI,0,646
2014,Q1,3,479,465,WEST,GOA,-14,479
2014,Q1,3,13744,13162,SOUTH,ANDRA PRADESH,-582,13744
2014,Q1,3,9894,9168,SOUTH, KARNATAKA,-726,9894
2014,Q1,3,3671,3573,SOUTH,KERALA,-98,3671
2014,Q1,3,13522,12355,SOUTH,TAMILNADU,-1167,13522
2014,Q1,3,334,333,SOUTH,PUDUCHERRY,-1,334
2014,Q1,3,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q1,3,2335,2115,EAST,BIHAR,-220,2335
2014,Q1,3,2451,2441,EAST,DVC,-10,2451
2014,Q1,3,1074,1044,EAST,JARKHAND,-30,1074
2014,Q1,3,3702,3672,EAST,ORISSA,-30,3702
2014,Q1,3,7314,7294,EAST,WEST BENGAL,-20,7314
2014,Q1,3,85,85,EAST,SIKKAM,0,85
2014,Q1,3,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q1,3,123,122,NE,ARUNACHAL PRADESH,-1,123
2014,Q1,3,1218,1164,NE,ASSAM,-54,1218
2014,Q1,3,134,133,NE,MANIPUR,-1,134
2014,Q1,3,286,278,NE,MEGHALAYA,-8,286
2014,Q1,3,83,81,NE,MIZORAM,-2,83
2014,Q1,3,100,99,NE,NAGALAND,-1,100
2014,Q1,3,245,245,NE,TRIPURA,0,245
2014,Q2,4,259,259,NORTH,CHANDIGARH,0,259
2014,Q2,4,4418,4418,NORTH,DELHI,0,4418
2014,Q2,4,6173,6173,NORTH,HARYANA,0,6173
2014,Q2,4,1316,1295,NORTH,HIMACHAL PRADESH,-21,1316
2014,Q2,4,2422,1938,NORTH,JAMMU & KASHMIR,-484,2422
2014,Q2,4,6198,6198,NORTH,PUNJAB,0,6198
2014,Q2,4,7977,7951,NORTH,RAJASTAN,-26,7977
2014,Q2,4,14966,11611,NORTH,UTTAR PRADESH,-3355,14966
2014,Q2,4,1649,1649,NORTH,UTTARAKHAND,0,1649
2014,Q2,4,3450,3350,WEST,CHATTISGARH,-100,3450
2014,Q2,4,13499,13499,WEST,GUJARAT,0,13499
2014,Q2,4,7033,7033,WEST,MADYA PRADESH,0,7033
2014,Q2,4,19749,18585,WEST,MAHARASTRA,-1164,19749
2014,Q2,4,297,297,WEST,DAMAN AND DIU,0,297
2014,Q2,4,646,646,WEST,DADRA AND NAGAR HAVELI,0,646
2014,Q2,4,489,489,WEST,GOA,0,489
2014,Q2,4,13773,12446,SOUTH,ANDRA PRADESH,-1327,13773
2014,Q2,4,10001,9503,SOUTH, KARNATAKA,-498,10001
2014,Q2,4,3760,3495,SOUTH,KERALA,-265,3760
2014,Q2,4,13486,12447,SOUTH,TAMILNADU,-1039,13486
2014,Q2,4,350,348,SOUTH,PUDUCHERRY,-2,350
2014,Q2,4,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q2,4,2560,2410,EAST,BIHAR,-150,2560
2014,Q2,4,2472,2452,EAST,DVC,-20,2472
2014,Q2,4,1060,1037,EAST,JARKHAND,-23,1060
2014,Q2,4,3814,3764,EAST,ORISSA,-50,3814
2014,Q2,4,7340,7300,EAST,WEST BENGAL,-40,7340
2014,Q2,4,80,80,EAST,SIKKAM,0,80
2014,Q2,4,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q2,4,105,104,NE,ARUNACHAL PRADESH,-1,105
2014,Q2,4,1343,1230,NE,ASSAM,-113,1343
2014,Q2,4,115,112,NE,MANIPUR,-3,115
2014,Q2,4,280,272,NE,MEGHALAYA,-8,280
2014,Q2,4,77,76,NE,MIZORAM,-1,77
2014,Q2,4,105,102,NE,NAGALAND,-3,105
2014,Q2,4,246,246,NE,TRIPURA,0,246
2014,Q2,5,300,300,NORTH,CHANDIGARH,0,300
2014,Q2,5,5358,5338,NORTH,DELHI,-20,5358
2014,Q2,5,6749,6749,NORTH,HARYANA,0,6749
2014,Q2,5,1233,1233,NORTH,HIMACHAL PRADESH,0,1233
2014,Q2,5,2384,1907,NORTH,JAMMU & KASHMIR,-477,2384
2014,Q2,5,7052,7052,NORTH,PUNJAB,0,7052
2014,Q2,5,8844,8727,NORTH,RAJASTAN,-117,8844
2014,Q2,5,15506,11821,NORTH,UTTAR PRADESH,-3685,15506
2014,Q2,5,1791,1716,NORTH,UTTARAKHAND,-75,1791
2014,Q2,5,3169,3165,WEST,CHATTISGARH,-4,3169
2014,Q2,5,13105,13105,WEST,GUJARAT,0,13105
2014,Q2,5,7388,6862,WEST,MADYA PRADESH,-526,7388
2014,Q2,5,19463,18563,WEST,MAHARASTRA,-900,19463
2014,Q2,5,297,297,WEST,DAMAN AND DIU,0,297
2014,Q2,5,646,646,WEST,DADRA AND NAGAR HAVELI,0,646
2014,Q2,5,444,438,WEST,GOA,-6,444
2014,Q2,5,12305,11329,SOUTH,ANDRA PRADESH,-976,12305
2014,Q2,5,9285,8499,SOUTH, KARNATAKA,-786,9285
2014,Q2,5,3678,3388,SOUTH,KERALA,-290,3678
2014,Q2,5,13019,12671,SOUTH,TAMILNADU,-348,13019
2014,Q2,5,371,348,SOUTH,PUDUCHERRY,-23,371
2014,Q2,5,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q2,5,2380,2230,EAST,BIHAR,-150,2380
2014,Q2,5,2610,2590,EAST,DVC,-20,2610
2014,Q2,5,991,961,EAST,JARKHAND,-30,991
2014,Q2,5,3774,3744,EAST,ORISSA,-30,3774
2014,Q2,5,7544,7524,EAST,WEST BENGAL,-20,7544
2014,Q2,5,78,78,EAST,SIKKAM,0,78
2014,Q2,5,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q2,5,115,111,NE,ARUNACHAL PRADESH,-4,115
2014,Q2,5,1332,1212,NE,ASSAM,-120,1332
2014,Q2,5,110,109,NE,MANIPUR,-1,110
2014,Q2,5,299,296,NE,MEGHALAYA,-3,299
2014,Q2,5,75,73,NE,MIZORAM,-2,75
2014,Q2,5,105,104,NE,NAGALAND,-1,105
2014,Q2,5,236,233,NE,TRIPURA,-3,236
2014,Q2,6,352,352,NORTH,CHANDIGARH,0,352
2014,Q2,6,5533,5533,NORTH,DELHI,0,5533
2014,Q2,6,8056,8056,NORTH,HARYANA,0,8056
2014,Q2,6,1281,1281,NORTH,HIMACHAL PRADESH,0,1281
2014,Q2,6,2312,1850,NORTH,JAMMU & KASHMIR,-462,2312
2014,Q2,6,10173,10023,NORTH,PUNJAB,-150,10173
2014,Q2,6,9131,9131,NORTH,RAJASTAN,0,9131
2014,Q2,6,15670,11535,NORTH,UTTAR PRADESH,-4135,15670
2014,Q2,6,1833,1833,NORTH,UTTARAKHAND,0,1833
2014,Q2,6,3309,3308,WEST,CHATTISGARH,-1,3309
2014,Q2,6,13580,13428,WEST,GUJARAT,-152,13580
2014,Q2,6,6995,6681,WEST,MADYA PRADESH,-314,6995
2014,Q2,6,18962,18658,WEST,MAHARASTRA,-304,18962
2014,Q2,6,297,297,WEST,DAMAN AND DIU,0,297
2014,Q2,6,679,679,WEST,DADRA AND NAGAR HAVELI,0,679
2014,Q2,6,501,475,WEST,GOA,-26,501
2014,Q2,6,7144,6158,SOUTH,ANDRA PRADESH,-986,7144
2014,Q2,6,9388,8261,SOUTH, KARNATAKA,-1127,9388
2014,Q2,6,3660,3345,SOUTH,KERALA,-315,3660
2014,Q2,6,13663,13498,SOUTH,TAMILNADU,-165,13663
2014,Q2,6,389,344,SOUTH,PUDUCHERRY,-45,389
2014,Q2,6,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q2,6,2439,2289,EAST,BIHAR,-150,2439
2014,Q2,6,2540,2520,EAST,DVC,-20,2540
2014,Q2,6,1031,1001,EAST,JARKHAND,-30,1031
2014,Q2,6,3793,3723,EAST,ORISSA,-70,3793
2014,Q2,6,7209,7159,EAST,WEST BENGAL,-50,7209
2014,Q2,6,78,78,EAST,SIKKAM,0,78
2014,Q2,6,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q2,6,111,110,NE,ARUNACHAL PRADESH,-1,111
2014,Q2,6,1343,1215,NE,ASSAM,-128,1343
2014,Q2,6,118,117,NE,MANIPUR,-1,118
2014,Q2,6,294,289,NE,MEGHALAYA,-5,294
2014,Q2,6,75,74,NE,MIZORAM,-1,75
2014,Q2,6,115,111,NE,NAGALAND,-4,115
2014,Q2,6,235,230,NE,TRIPURA,-5,235
2014,Q3,7,367,367,NORTH,CHANDIGARH,0,367
2014,Q3,7,6006,5925,NORTH,DELHI,-81,6006
2014,Q3,7,8752,8752,NORTH,HARYANA,0,8752
2014,Q3,7,1248,1248,NORTH,HIMACHAL PRADESH,0,1248
2014,Q3,7,2413,1931,NORTH,JAMMU & KASHMIR,-482,2413
2014,Q3,7,11534,9699,NORTH,PUNJAB,-1835,11534
2014,Q3,7,9403,9403,NORTH,RAJASTAN,0,9403
2014,Q3,7,15323,11968,NORTH,UTTAR PRADESH,-3355,15323
2014,Q3,7,1780,1780,NORTH,UTTARAKHAND,0,1780
2014,Q3,7,3274,2978,WEST,CHATTISGARH,-296,3274
2014,Q3,7,13603,13467,WEST,GUJARAT,-136,13603
2014,Q3,7,6882,6851,WEST,MADYA PRADESH,-31,6882
2014,Q3,7,18586,18483,WEST,MAHARASTRA,-103,18586
2014,Q3,7,297,297,WEST,DAMAN AND DIU,0,297
2014,Q3,7,672,672,WEST,DADRA AND NAGAR HAVELI,0,672
2014,Q3,7,464,459,WEST,GOA,-5,464
2014,Q3,7,6548,6072,SOUTH,ANDRA PRADESH,-476,6548
2014,Q3,7,8953,8137,SOUTH, KARNATAKA,-816,8953
2014,Q3,7,3499,3210,SOUTH,KERALA,-289,3499
2014,Q3,7,13174,13034,SOUTH,TAMILNADU,-140,13174
2014,Q3,7,346,333,SOUTH,PUDUCHERRY,-13,346
2014,Q3,7,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q3,7,2620,2470,EAST,BIHAR,-150,2620
2014,Q3,7,2557,2512,EAST,DVC,-45,2557
2014,Q3,7,997,982,EAST,JARKHAND,-15,997
2014,Q3,7,3664,3634,EAST,ORISSA,-30,3664
2014,Q3,7,7151,7133,EAST,WEST BENGAL,-18,7151
2014,Q3,7,78,78,EAST,SIKKAM,0,78
2014,Q3,7,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q3,7,118,116,NE,ARUNACHAL PRADESH,-2,118
2014,Q3,7,1329,1187,NE,ASSAM,-142,1329
2014,Q3,7,131,125,NE,MANIPUR,-6,131
2014,Q3,7,299,297,NE,MEGHALAYA,-2,299
2014,Q3,7,83,82,NE,MIZORAM,-1,83
2014,Q3,7,120,117,NE,NAGALAND,-3,120
2014,Q3,7,239,238,NE,TRIPURA,-1,239
2014,Q3,8,343,343,NORTH,CHANDIGARH,0,343
2014,Q3,8,5589,5507,NORTH,DELHI,-82,5589
2014,Q3,8,9152,9152,NORTH,HARYANA,0,9152
2014,Q3,8,1313,1313,NORTH,HIMACHAL PRADESH,0,1313
2014,Q3,8,2282,1826,NORTH,JAMMU & KASHMIR,-456,2282
2014,Q3,8,10601,9126,NORTH,PUNJAB,-1475,10601
2014,Q3,8,10087,10077,NORTH,RAJASTAN,-10,10087
2014,Q3,8,15162,10512,NORTH,UTTAR PRADESH,-4650,15162
2014,Q3,8,1801,1761,NORTH,UTTARAKHAND,-40,1801
2014,Q3,8,3360,3195,WEST,CHATTISGARH,-165,3360
2014,Q3,8,12326,12263,WEST,GUJARAT,-63,12326
2014,Q3,8,7995,7438,WEST,MADYA PRADESH,-557,7995
2014,Q3,8,17624,16938,WEST,MAHARASTRA,-686,17624
2014,Q3,8,297,297,WEST,DAMAN AND DIU,0,297
2014,Q3,8,673,673,WEST,DADRA AND NAGAR HAVELI,0,673
2014,Q3,8,459,459,WEST,GOA,0,459
2014,Q3,8,6754,6549,SOUTH,ANDRA PRADESH,-205,6754
2014,Q3,8,8433,7878,SOUTH, KARNATAKA,-555,8433
2014,Q3,8,3473,3189,SOUTH,KERALA,-284,3473
2014,Q3,8,12717,12634,SOUTH,TAMILNADU,-83,12717
2014,Q3,8,353,325,SOUTH,PUDUCHERRY,-28,353
2014,Q3,8,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q3,8,2401,2251,EAST,BIHAR,-150,2401
2014,Q3,8,2653,2453,EAST,DVC,-200,2653
2014,Q3,8,1042,992,EAST,JARKHAND,-50,1042
2014,Q3,8,3571,3541,EAST,ORISSA,-30,3571
2014,Q3,8,7499,7419,EAST,WEST BENGAL,-80,7499
2014,Q3,8,75,75,EAST,SIKKAM,0,75
2014,Q3,8,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q3,8,118,116,NE,ARUNACHAL PRADESH,-2,118
2014,Q3,8,1379,1242,NE,ASSAM,-137,1379
2014,Q3,8,141,138,NE,MANIPUR,-3,141
2014,Q3,8,288,280,NE,MEGHALAYA,-8,288
2014,Q3,8,85,81,NE,MIZORAM,-4,85
2014,Q3,8,121,116,NE,NAGALAND,-5,121
2014,Q3,8,240,235,NE,TRIPURA,-5,240
2014,Q3,9,283,283,NORTH,CHANDIGARH,0,283
2014,Q3,9,4882,4882,NORTH,DELHI,0,4882
2014,Q3,9,8375,8227,NORTH,HARYANA,-148,8375
2014,Q3,9,1286,1286,NORTH,HIMACHAL PRADESH,0,1286
2014,Q3,9,2336,1869,NORTH,JAMMU & KASHMIR,-467,2336
2014,Q3,9,8861,8861,NORTH,PUNJAB,0,8861
2014,Q3,9,10188,9474,NORTH,RAJASTAN,-714,10188
2014,Q3,9,14234,11844,NORTH,UTTAR PRADESH,-2390,14234
2014,Q3,9,1883,1813,NORTH,UTTARAKHAND,-70,1883
2014,Q3,9,3480,3121,WEST,CHATTISGARH,-359,3480
2014,Q3,9,13184,13136,WEST,GUJARAT,-48,13184
2014,Q3,9,8159,8159,WEST,MADYA PRADESH,0,8159
2014,Q3,9,20004,18565,WEST,MAHARASTRA,-1439,20004
2014,Q3,9,297,297,WEST,DAMAN AND DIU,0,297
2014,Q3,9,635,635,WEST,DADRA AND NAGAR HAVELI,0,635
2014,Q3,9,488,444,WEST,GOA,-44,488
2014,Q3,9,6445,6380,SOUTH,ANDRA PRADESH,-65,6445
2014,Q3,9,8300,7973,SOUTH, KARNATAKA,-327,8300
2014,Q3,9,3557,3403,SOUTH,KERALA,-154,3557
2014,Q3,9,12917,12899,SOUTH,TAMILNADU,-18,12917
2014,Q3,9,361,336,SOUTH,PUDUCHERRY,-25,361
2014,Q3,9,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q3,9,2922,2722,EAST,BIHAR,-200,2922
2014,Q3,9,2494,2454,EAST,DVC,-40,2494
2014,Q3,9,1046,986,EAST,JARKHAND,-60,1046
2014,Q3,9,3760,3710,EAST,ORISSA,-50,3760
2014,Q3,9,7368,7288,EAST,WEST BENGAL,-80,7368
2014,Q3,9,80,80,EAST,SIKKAM,0,80
2014,Q3,9,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2014,Q3,9,139,115,NE,ARUNACHAL PRADESH,-24,139
2014,Q3,9,1350,1207,NE,ASSAM,-143,1350
2014,Q3,9,135,126,NE,MANIPUR,-9,135
2014,Q3,9,310,280,NE,MEGHALAYA,-30,310
2014,Q3,9,86,78,NE,MIZORAM,-8,86
2014,Q3,9,117,116,NE,NAGALAND,-1,117
2014,Q3,9,260,256,NE,TRIPURA,-4,260
2014,Q4,10,248,248,NORTH,CHANDIGARH,0,248
2014,Q4,10,4570,4570,NORTH,DELHI,0,4570
2014,Q4,10,7818,7818,NORTH,HARYANA,0,7818
2014,Q4,10,1312,1312,NORTH,HIMACHAL PRADESH,0,1312
2014,Q4,10,2521,2017,NORTH,JAMMU & KASHMIR,-504,2521
2014,Q4,10,7751,7751,NORTH,PUNJAB,0,7751
2014,Q4,10,9339,9339,NORTH,RAJASTAN,0,9339
2014,Q4,10,13003,13003,NORTH,UTTAR PRADESH,0,13003
2014,Q4,10,1762,1687,NORTH,UTTARAKHAND,-75,1762
2014,Q4,10,3376,3284,WEST,CHATTISGARH,-92,3376
2014,Q4,10,13374,13369,WEST,GUJARAT,-5,13374
2014,Q4,10,8394,8394,WEST,MADYA PRADESH,0,8394
2014,Q4,10,20147,19654,WEST,MAHARASTRA,-493,20147
2014,Q4,10,297,297,WEST,DAMAN AND DIU,0,297
2014,Q4,10,635,635,WEST,DADRA AND NAGAR HAVELI,0,635
2014,Q4,10,463,463,WEST,GOA,0,463
2014,Q4,10,6549,6482,SOUTH,ANDRA PRADESH,-67,6549
2014,Q4,10,8352,7574,SOUTH, KARNATAKA,-778,8352
2014,Q4,10,3477,3274,SOUTH,KERALA,-203,3477
2014,Q4,10,12415,11435,SOUTH,TAMILNADU,-980,12415
2014,Q4,10,356,320,SOUTH,PUDUCHERRY,-36,356
2014,Q4,10,8,8,SOUTH,LAKSHADWEEP,0,8
2014,Q4,10,2992,2792,EAST,BIHAR,-200,2992
2014,Q4,10,2483,2443,EAST,DVC,-40,2483
2014,Q4,10,1075,1035,EAST,JARKHAND,-40,1075
2014,Q4,10,3767,3707,EAST,ORISSA,-60,3767
2014,Q4,10,7166,7086,EAST,WEST BENGAL,-80,7166
